x,y
-1.730319621921336,-1.38568932731145
-1.726855518574146,-1.6323201796415523
-1.7233914152269563,-1.3200004496189082
-1.7199273118797664,-0.9725180466066138
-1.7164632085325764,-1.6605896754782612
-1.7129991051853866,-1.6574331136623248
-1.7095350018381967,-0.940967091164856
-1.706070898491007,-1.2571454704004212
-1.702606795143817,-1.7405572951807535
-1.6991426917966272,-1.3393040346552147
-1.6956785884494374,-1.731874571614945
-1.6922144851022474,-1.7296339614973246
-1.6887503817550575,-1.44809962401125
-1.6852862784078677,-2.2927555087426343
-1.6818221750606779,-2.215509436953748
-1.678358071713488,-1.755016400570721
-1.6748939683662982,-1.929096261445695
-1.6714298650191084,-1.4039143907457652
-1.6679657616719183,-1.8815681926901942
-1.6645016583247285,-2.076786153654023
-1.6610375549775387,-0.94153823744291
-1.6575734516303489,-1.6037426319458103
-1.654109348283159,-1.4852155747338587
-1.6506452449359692,-2.0690810162283424
-1.6471811415887794,-1.719622270037784
-1.6437170382415893,-1.4586952502317996
-1.6402529348943995,-1.9519440786501554
-1.6367888315472097,-1.3482405489870535
-1.6333247282000198,-1.729151218919203
-1.62986062485283,-1.6044716965849597
-1.6263965215056402,-1.7232710995072373
-1.6229324181584504,-0.7547990007501951
-1.6194683148112603,-1.4855874460338883
-1.6160042114640705,-1.8931988344253556
-1.6125401081168806,-1.1504140263676104
-1.6090760047696908,-1.9510700125124845
-1.605611901422501,-1.3855171377080127
-1.6021477980753112,-2.235401371974374
-1.5986836947281213,-1.9838448935974922
-1.5952195913809313,-1.380788185209626
-1.5917554880337415,-1.164587229780256
-1.5882913846865516,-1.384516120831203
-1.5848272813393618,-1.4942694884540968
-1.581363177992172,-1.564071829303749
-1.5778990746449821,-2.0240817986882975
-1.5744349712977923,-1.7224912356783715
-1.5709708679506023,-1.6173777008925228
-1.5675067646034124,-1.0171871935023677
-1.5640426612562226,-1.2947075507348063
-1.5605785579090328,-2.120251959023111
-1.557114454561843,-1.2960915431677071
-1.5536503512146531,-1.5719055880709827
-1.5501862478674633,-1.6835562367527654
-1.5467221445202735,-1.1735112766512201
-1.5432580411730834,-1.0054123351433282
-1.5397939378258936,-1.0414887718349297
-1.5363298344787037,-1.7347978797686439
-1.532865731131514,-1.5231600842622104
-1.529401627784324,-1.2680665355049745
-1.5259375244371343,-1.0114758675111286
-1.5224734210899444,-1.5805675323889659
-1.5190093177427544,-1.4619575702586713
-1.5155452143955646,-1.8209730317965178
-1.5120811110483747,-1.8531756658136946
-1.508617007701185,-1.0598521204175109
-1.505152904353995,-0.8428216036458238
-1.5016888010068052,-1.401501095110173
-1.4982246976596154,-0.9752655124264219
-1.4947605943124254,-1.224617857454928
-1.4912964909652355,-1.617494452654144
-1.4878323876180457,-1.2184122239536554
-1.4843682842708559,-0.7524078266001665
-1.480904180923666,-1.368366770725189
-1.4774400775764762,-0.7356412104557623
-1.4739759742292864,-2.3785006957472743
-1.4705118708820963,-1.021512483420305
-1.4670477675349065,-1.3074318625668333
-1.4635836641877167,-1.4561436703708668
-1.4601195608405266,-1.2992774278448072
-1.456655457493337,-2.1140715465737596
-1.453191354146147,-1.4154852335258439
-1.4497272507989574,-1.1854458982739473
-1.446263147451767,-0.7414149019843969
-1.4427990441045775,-1.5234943041791165
-1.4393349407573874,-1.6345091363758497
-1.4358708374101978,-1.5106983229998343
-1.4324067340630078,-0.9500814776274545
-1.4289426307158182,-1.1777018019411587
-1.425478527368628,-1.512263592540514
-1.4220144240214383,-1.0988185593498476
-1.4185503206742482,-1.2593847304317305
-1.4150862173270586,-0.9133868543807732
-1.4116221139798686,-1.567437891723948
-1.408158010632679,-1.4170139270088964
-1.404693907285489,-1.4392148963931766
-1.4012298039382993,-1.8575232086954525
-1.397765700591109,-1.1621868337819525
-1.3943015972439194,-1.172830222544382
-1.3908374938967294,-1.2703597419109434
-1.3873733905495398,-1.3615004636598818
-1.3839092872023497,-1.822834243823505
-1.3804451838551601,-1.4283898145172185
-1.3769810805079699,-1.3945841333480289
-1.3735169771607803,-1.5722118544556956
-1.3700528738135902,-1.3169154254238638
-1.3665887704664006,-1.0913793376528647
-1.3631246671192105,-0.505202982211154
-1.3596605637720207,-1.1753467544019294
-1.3561964604248309,-1.1395577956357548
-1.3527323570776408,-1.267004807989989
-1.349268253730451,-1.9893554411349808
-1.3458041503832612,-1.2418496133002133
-1.3423400470360713,-1.2045770597094312
-1.3388759436888815,-0.2561561267091234
-1.3354118403416917,-1.2976384366656137
